"Date","Month","Year","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-11-01,11,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-02,11,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-03,11,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-04,11,2017,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-05,11,2017,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-06,11,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-09,11,2017,12,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-10,11,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-11,11,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-12,11,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-13,11,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-14,11,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-15,11,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-16,11,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-17,11,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-18,11,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-19,11,2017,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-20,11,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-21,11,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-22,11,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-23,11,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-24,11,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-25,11,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-26,11,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-27,11,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-28,11,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
